title,date_added,release_year,rating,duration
Planet Earth: The Complete Collection,22-Apr-15,2006,TV-PG,1 Season
Bee Movie,01-Jan-17,2007,PG,92 min
Calendar Girls,15-Oct-17,2015,TV-14,126 min
Martin Luther: The Idea that Changed the World,01-Jan-18,2017,TV-PG,55 min
Chef's Table," February 22, 2019",2019,TV-MA,6 Seasons
