age,bmi,km5_time_seconds,km10_time_seconds,km10_time_minutes,sex
31,27.59932137,1355,,,male
31,29.04040718,1410,3060,51,male
31,21.04377174,1157,2399,39.98333333,male
31,21.54765511,1065,,,male
31,25.75936508,1198,,,male
31,22.57785988,1240,2598,43.3,male
31,21.96660423,1150,2494,41.56666667,male
31,21.24975014,1007,,,male
31,28.2599144,,2898,48.3,male
31,22.26345062,1108,,,male
31,22.51829529,1087,2422,40.36666667,male
31,22.7912426,1035,,,male
31,26.50887489,,2955,49.25,male
31,22.76068687,1200,2250,37.5,male
31,22.31223869,1156,,,male
31,28.2003727,1350,2770,46.16666667,male
31,25.89813232,1500,,,male
31,24.55106735,1150,,,male
31,22.26345062,1202,2506,41.76666667,male
31,21.24975014,1470,3090,51.5,male
31,22.53840446,1147,,,male
31,24.52615929,,2375,39.58333333,male
31,25.5287571,,2880,48,male
31,21.06158638,1035,,,male
31,24.37873268,1197,,,male
31,26.6554451,1170,2475,41.25,male
31,19.85831833,1188,,,male
31,22.60793114,1139,,,male
31,20.04040337,1130,,,male
31,21.99690628,957,2020,33.66666667,male
31,28.2003727,2040,,,male
31,24.56541252,,3070,51.16666667,male
31,25.92195129,,3512,58.53333333,male
31,25.96887398,1436,2651,44.18333333,male
31,22.35768318,1162,2386,39.76666667,male
32,23.70815659,1089,,,male
32,31.38913918,,2681,44.68333333,male
32,23.14814949,1260,,,male
32,23.49176788,1205,,,male
32,25.8121376,1248,,,male
32,22.19567108,1073,,,male
32,23.30609322,1225,,,male
32,23.78989792,1116,,,male
32,22.0347538,1380,2580,43,male
32,23.67722511,1198,,,male
32,21.07606697,1250,,,male
32,29.16219711,1380,3248,54.13333333,male
32,24.70283508,1102,2226,37.1,male
32,35.07295227,1684,3720,62,male
32,18.39954567,1003,2160,36,male
32,22.91344261,,2066,34.43333333,male
32,24.48979568,985,,,male
32,19.37938118,1110,,,male
32,25.89813232,1284,,,male
32,20.03710556,,2157,35.95,male
32,22.72727203,,2675,44.58333333,male
32,28.13294601,1296,,,male
32,24.78664017,1560,4076,67.93333333,male
32,21.07606697,1095,,,male
32,20.74412727,,3003,50.05,male
32,19.92143822,,2290,38.16666667,male
32,26.40168762,1193,,,male
32,24.48979568,1310,,,male
32,21.38588142,,3272,54.53333333,male
32,23.88304138,,2766,46.1,male
32,21.23309135,1080,,,male
32,29.57566071,1815,3277,54.61666667,male
32,22.02581596,1200,2287,38.11666667,male
32,23.84960938,962,,,male
32,21.5213356,,2945,49.08333333,male
32,22.84372139,1435,,,male
32,29.21840668,,2588,43.13333333,male
32,24.28824997,1060,,,male
32,23.14814949,1020,,,male
32,24.70990944,,2830,47.16666667,male
32,22.51829529,1063,2318,38.63333333,male
32,26.11717224,1259,,,male
32,21.91380501,1564,3314,55.23333333,male
32,19.34570503,869,,,male
32,22.36208534,1072,,,male
32,25.24751663,1260,,,male
32,24.28824997,1187,,,male
32,20.33395195,1008,2105,35.08333333,male
33,25.82033348,1253,,,male
33,25.24778557,1299,2804,46.73333333,male
33,22.44668961,1125,,,male
33,22.26345062,1472,,,male
33,21.49645615,1065,,,male
33,22.2178154,1557,2394,39.9,male
33,32.96857834,2372,5220,87,male
33,21.9292717,1236,,,male
33,25.95155525,1065,2250,37.5,male
33,19.44146538,930,,,male
33,22.86756706,1423,,,male
33,24.3044014,,2431,40.51666667,male
33,25.24778557,1330,,,male
33,23.37171364,1500,,,male
33,25.96887398,1411,,,male
33,18.03393936,1120,,,male
33,26.73796654,1338,2913,48.55,male
33,25.96857071,1230,,,male
33,24.52615929,1092,2653,44.21666667,male
33,23.20066833,,2157,35.95,male
33,22.0466156,1122,,,male
33,23.93687057,,1920,32,male
33,20.321558,,2650,44.16666667,male
33,23.49176788,,2290,38.16666667,male
33,23.14814949,1079,,,male
33,22.35768318,1122,2388,39.8,male
33,20.92764473,1019,2087,34.78333333,male
33,24.20903206,1025,,,male
33,22.44668961,1327,,,male
33,25.39178848,1338,2833,47.21666667,male
33,21.06158638,1167,2539,42.31666667,male
33,21.23309135,1125,,,male
33,27.59932137,1860,4260,71,male
33,21.74523163,,2480,41.33333333,male
33,27.15151405,1570,,,male
33,23.70931816,,2725,45.41666667,male
33,22.51829529,1000,,,male
33,27.97727585,1625,3978,66.3,male
33,22.51829529,1292,,,male
33,24.30183029,1341,2826,47.1,male
33,28.85430336,1571,3256,54.26666667,male
33,21.24975014,,2980,49.66666667,male
33,26.25741768,1368,2839,47.31666667,male
33,21.3521862,,2820,47,male
33,19.70556259,1078,,,male
33,21.70465088,1065,,,male
33,26.7323513,1433,,,male
33,25.52073479,,3234,53.9,male
33,28.2599144,1264,2704,45.06666667,male
33,26.44170189,,2610,43.5,male
33,25.24751663,1230,,,male
33,25.92195129,1265,,,male
33,27.97727585,1607,3251,54.18333333,male
33,29.68460083,,2540,42.33333333,male
33,22.91344261,,2377,39.61666667,male
33,20.58569527,,2210,36.83333333,male
34,25.74573708,1210,,,male
34,21.96660423,,2914,48.56666667,male
34,22.51829529,988,,,male
34,20.58569527,,2520,42,male
34,22.53944397,1138,,,male
34,24.56541252,1290,,,male
34,25.04382706,1081,,,male
34,21.17267418,1092,,,male
34,26.42340279,1067,,,male
34,21.38588142,,2716,45.26666667,male
34,25.23191071,1405,,,male
34,25.53605843,1190,,,male
34,24.23761749,,3430,57.16666667,male
34,28.94248581,1356,,,male
34,25.79427338,1487,,,male
34,24.44100571,1020,,,male
34,28.44444466,1500,3000,50,male
34,23.00556564,1048,,,male
34,22.4551754,,2101,35.01666667,male
34,24.95965385,,2542,42.36666667,male
34,22.10886955,1133.5,2830,47.16666667,male
34,20.32007408,969,,,male
34,23.2491684,1178,,,male
34,26.6554451,1470,3180,53,male
34,20.76318932,1110,,,male
34,27.4971962,1680,,,male
34,22.92771912,,3750,62.5,male
34,25.25252724,,2140,35.66666667,male
34,19.44146538,1080,,,male
34,23.08344269,1247,,,male
34,21.74523163,,2693,44.88333333,male
34,23.04032135,,2494,41.56666667,male
34,24.30183029,1285,2473,41.21666667,male
34,23.90688896,,3240,54,male
34,22.26345062,1045,,,male
34,28.75982094,1500,,,male
34,19.04384041,,2090,34.83333333,male
34,28.2003727,1580,,,male
34,21.24975014,1044,,,male
34,25.97402573,,3258,54.3,male
34,22.70640373,1186,,,male
34,25.96887398,,3395,56.58333333,male
34,25.23191071,1382,,,male
34,27.51718903,1275,2946,49.1,male
34,20.19801331,1160,,,male
34,20.62209892,1106,,,male
34,22.33406639,,2465,41.08333333,male
34,22.56029701,1275,2734,45.56666667,male
34,23.88304138,,2640,44,male
34,25.85858536,1141,,,male
34,25.8121376,1623,3600,60,male
34,21.09651184,1112,2553,42.55,male
35,19.64085388,,2716,45.26666667,male
35,25.23191071,1250,2862,47.7,male
35,24.85795403,1053,2210,36.83333333,male
35,24.48979568,1440,,,male
35,23.49176788,1160,2522,42.03333333,male
35,24.37873268,890,1879,31.31666667,male
35,22.57785988,1069,,,male
35,22.33406639,1045,2196,36.6,male
35,30.5534687,1408,,,male
35,26.50887489,1439,,,male
35,24.04452515,,3282,54.7,male
35,22.8571434,,2418,40.3,male
35,24.48979568,1185,,,male
35,30.12372208,1934,4206,70.1,male
35,35.94740677,1389,,,male
35,23.88304138,1110,,,male
35,30.57513809,2343,,,male
35,22.53944397,1502,,,male
35,20.58569527,1455,,,male
35,21.88552284,1134,2445,40.75,male
35,27.35690308,1540,3482,58.03333333,male
35,23.24191475,1230,3540,59,male
35,22.65063095,1217,,,male
35,22.9631958,,2418,40.3,male
35,24.6258564,1806,3450,57.5,male
35,24.96845627,,2646,44.1,male
35,24.04452515,,2249,37.48333333,male
35,22.60793114,998,2065,34.41666667,male
35,26.69023323,1297,,,male
35,25.24778557,,2835,47.25,male
35,28.44444466,1408,,,male
35,22.91344261,1260,,,male
35,22.91344261,1080,,,male
35,24.52615929,1260,2460,41,male
35,23.14814949,1261,2820,47,male
35,30.29701996,1320,6420,107,male
35,24.48979568,1192,,,male
35,25.39178848,1596,3608,60.13333333,male
35,25.24751663,,2721,45.35,male
35,25.60000038,1180,,,male
35,23.5923233,1075,2135,35.58333333,male
35,23.00556564,1049,2162,36.03333333,male
35,26.03094482,1707,,,male
35,25.05203247,1364,,,male
35,23.80480194,1170,,,male
35,23.88125992,1353,2702,45.03333333,male
35,23.66053009,,2308,38.46666667,male
35,20.47117615,1246,2691,44.85,male
35,25.25252724,,3096,51.6,male
35,24.48979568,,2269,37.81666667,male
35,20.58569527,1195,,,male
35,21.640728,1251,2757,45.95,male
36,25.53310966,1363,,,male
36,26.61252975,1188,,,male
36,25.25252724,,3012,50.2,male
36,20.91937065,934,,,male
36,25.6369915,,2509,41.81666667,male
36,26.23456955,1264,,,male
36,19.79558945,1180,2490,41.5,male
36,23.67722511,1279,2789,46.48333333,male
36,24.56541252,1068,2247,37.45,male
36,23.80480194,1313,,,male
36,23.45083618,1082,,,male
36,19.59183693,,2400,40,male
36,27.9035244,1397,3075,51.25,male
36,22.16610718,1071,,,male
36,22.01950264,1429,,,male
36,25.89813232,,2674,44.56666667,male
36,26.41929436,,3045,50.75,male
36,21.06158638,,2315,38.58333333,male
36,23.5923233,1053,,,male
36,23.5923233,1440,3014,50.23333333,male
36,32.05936813,2010,,,male
36,23.00573349,1065,,,male
36,28.05836296,1470,,,male
36,24.47160149,1386,,,male
36,27.2949028,1620,3360,56,male
36,26.50505066,,2682,44.7,male
36,22.33406639,897,,,male
36,28.2003727,,2910,48.5,male
36,24.23761749,1386,,,male
36,22.91344261,1033,,,male
36,24.55106735,1316,,,male
36,25.24778557,1451,,,male
36,23.90688896,1160,2430,40.5,male
36,25.96887398,1380,2940,49,male
36,24.34137344,,2420,40.33333333,male
36,24.55106735,1015,,,male
36,23.52446938,1600,,,male
36,22.8571434,,2199,36.65,male
36,22.60793114,1031,,,male
36,21.9292717,1292,,,male
36,27.99622345,,3180,53,male
36,27.02195358,1575,,,male
36,23.56902504,,2390,39.83333333,male
36,22.44668961,990,,,male
37,23.67722511,1025,,,male
37,23.00556564,1077,,,male
37,25.04382706,1303,,,male
37,26.54595947,1218,,,male
37,22.56029701,1350,,,male
37,25.68181801,,3900,65,male
37,18.99196434,1220,,,male
37,36.75645447,2182,4183,69.71666667,male
37,19.9216404,1762,4225,70.41666667,male
37,20.19801331,997,,,male
37,20.55757523,,2048,34.13333333,male
37,24.9719429,1218,,,male
37,23.91919327,,3128,52.13333333,male
37,19.55280685,,2408,40.13333333,male
37,29.46128082,,2659,44.31666667,male
37,24.85058212,1270,,,male
37,25.82033348,1370.5,2850,47.5,male
37,24.22145271,1036,,,male
37,22.14966202,1027,,,male
37,20.62209892,1121,2288,38.13333333,male
37,22.57785988,964,2010,33.5,male
37,20.34231186,,2321,38.68333333,male
37,21.69139481,982,2043,34.05,male
37,28.49721718,1372,,,male
37,21.91380501,1256,,,male
37,23.00556564,1490,2984,49.73333333,male
37,25.96887398,,2595,43.25,male
37,25.23191071,1305,2925,48.75,male
37,23.14814949,1146,,,male
37,27.07126808,1189,,,male
37,23.84960938,1213,,,male
37,27.07126808,1286,,,male
37,25.92195129,,3510,58.5,male
37,26.69023323,992,2196,36.6,male
37,22.36208534,1015,,,male
37,24.48979568,1276,,,male
37,25.96857071,1290,,,male
37,23.84960938,1005,2205,36.75,male
37,24.01951408,,2428,40.46666667,male
38,25.23191071,,2340,39,male
38,23.20066833,1127,,,male
38,27.41159058,1320,,,male
38,24.67043114,1590,,,male
38,23.14814949,,2474,41.23333333,male
38,25.24751663,,2430,40.5,male
38,22.3776226,1114,,,male
38,20.63082695,1209,2591,43.18333333,male
38,23.74768066,1609,3362,56.03333333,male
38,29.21840668,,2646,44.1,male
38,21.83592224,1014,,,male
38,19.04384041,,2590,43.16666667,male
38,22.14966202,1124,,,male
38,23.90596962,1287,2737,45.61666667,male
38,23.91919327,1194,,,male
38,30.70676613,,3370,56.16666667,male
38,23.70467758,1439,,,male
38,28.31078911,1620,3420,57,male
38,24.04452515,,2857,47.61666667,male
38,28.11374855,,2860,47.66666667,male
38,22.26345062,,2280,38,male
38,28.85430336,1494,3284,54.73333333,male
38,27.8660984,,3320,55.33333333,male
38,21.18406296,1210,,,male
38,26.50887489,,2760,46,male
38,21.69139481,995,,,male
38,25.20478821,1185,2497,41.61666667,male
38,21.06158638,1100,,,male
38,24.55106735,,2730,45.5,male
38,25.56031227,,2580,43,male
38,20.34231186,1145,,,male
38,23.5923233,,3339,55.65,male
38,25.36688995,1662,,,male
38,26.97877502,1395,,,male
38,25.8121376,1361,,,male
38,22.07354355,1218,2578,42.96666667,male
38,25.49970055,1368,2930,48.83333333,male
38,23.80480194,,2294,38.23333333,male
38,25.97402573,1288,,,male
38,27.12304497,1860,,,male
38,25.8121376,1155,2567,42.78333333,male
39,20.77922058,1020,2100,35,male
39,22.36208534,,2346,39.1,male
39,21.37291145,,1981,33.01666667,male
39,22.35768318,1143,,,male
39,22.44668961,1324,,,male
39,23.88304138,,2754,45.9,male
39,23.67722511,1290,,,male
39,23.00556564,1230,,,male
39,23.74768066,,2700,45,male
39,24.44100571,,2642,44.03333333,male
39,24.37873268,1184,2533,42.21666667,male
39,22.70872116,,2627,43.78333333,male
39,21.91380501,,2630,43.83333333,male
39,35.74497223,1578,3578,59.63333333,male
39,20.90348053,985,,,male
39,26.73796654,990,,,male
39,24.09334373,1500,3090,51.5,male
39,22.84348106,,2290,38.16666667,male
39,26.71614075,1064,,,male
39,26.69023323,1860,3600,60,male
39,24.97483635,1222,,,male
39,29.73737335,1256,,,male
39,26.7323513,1620,3225,53.75,male
39,24.48979568,1004,,,male
39,27.89029694,1516,,,male
39,23.80480194,,2427,40.45,male
39,22.51969719,,3180,53,male
39,24.0484848,1264,,,male
39,20.68686867,1183,,,male
39,23.00785828,,2282,38.03333333,male
39,25.35754395,1158,,,male
39,19.7888031,,3780,63,male
40,25.52073479,,2760,46,male
40,27.45825768,1250,,,male
40,25.47970772,1386,2940,49,male
40,24.48979568,1338,,,male
40,22.26345062,912,,,male
40,23.67161942,1256,,,male
40,17.84652138,,2620,43.66666667,male
40,28.13294601,,3000,50,male
40,23.80480194,1356,2856,47.6,male
40,25.24751663,,2795,46.58333333,male
40,27.15151405,1546,,,male
40,23.61009026,1036,2157,35.95,male
40,23.88304138,1215,,,male
40,26.50887489,1195,2660,44.33333333,male
40,23.84960938,,2355,39.25,male
40,23.00556564,1059,,,male
40,25.51029968,,3300,55,male
40,22.72727203,1138,,,male
40,22.90776443,1154,2476,41.26666667,male
40,27.45825768,1625,,,male
40,31.0183773,1677,,,male
40,23.04032135,1332,2701,45.01666667,male
40,23.5923233,1098,,,male
40,21.33333397,1100,2493,41.55,male
40,25.05203247,,2484,41.4,male
40,28.44444466,1139,,,male
40,23.90596962,,3900,65,male
40,25.11189079,,2912,48.53333333,male
40,22.14966202,1277,2975,49.58333333,male
40,26.69023323,,2490,41.5,male
40,25.20478821,1140,2820,47,male
40,22.01950264,1339,,,male
40,25.25252724,1410,2910,48.5,male
41,24.27048302,1134,2360,39.33333333,male
41,23.27272797,1380,2820,47,male
41,22.9631958,1178,,,male
41,23.90596962,1210,,,male
41,22.26345062,1616,3817,63.61666667,male
41,26.20310783,1585,,,male
41,27.9035244,,2995,49.91666667,male
41,23.79261398,1160,,,male
41,23.67722511,1192,,,male
41,24.54295158,1005,,,male
41,22.14966202,1030,,,male
41,26.74900627,1285,,,male
41,25.96887398,1523,,,male
41,22.5825634,,2730,45.5,male
41,31.45643044,1500,,,male
41,25.37774658,2172,3336,55.6,male
41,23.67722511,,2376,39.6,male
41,23.29388237,950,,,male
41,24.03878021,1260,2760,46,male
41,25.20478821,,4122,68.7,male
41,21.33333397,1180,,,male
41,21.38588142,1038,,,male
41,22.51829529,1256,,,male
41,28.44444466,,3000,50,male
41,23.65378189,1568,,,male
41,27.45825768,1440,,,male
41,22.80591202,,2173,36.21666667,male
41,30.13426971,1424,3166,52.76666667,male
41,22.02581596,1122,2331,38.85,male
42,30.54651642,1680,3300,55,male
42,23.27775955,1200,3000,50,male
42,24.04452515,,2885,48.08333333,male
42,25.92195129,1314,,,male
42,23.37472534,1370,3082,51.36666667,male
42,24.55106735,1443,2578,42.96666667,male
42,23.42873192,,2552,42.53333333,male
42,24.34137344,,2580,43,male
42,29.09090996,,2674,44.56666667,male
42,17.87248611,,2412,40.2,male
42,25.89813232,1470,,,male
42,27.4961338,1546,,,male
42,25.95398712,,2296,38.26666667,male
42,18.40201187,,2005,33.41666667,male
42,28.2599144,1590,,,male
42,24.6258564,1145,,,male
