age,bmi,km5_time_seconds,km10_time_seconds,km10_time_minutes,sex
16,18.33075523,945,2040,34,male
16,19.13552856,1110,2365,39.41666667,male
16,19.47665596,985,2055,34.25,male
16,18.33075523,1146,,,male
16,22.26345062,,2459,40.98333333,male
16,18.93491173,1164,,,male
16,21.15354919,1122,,,male
16,21.38561058,1024,1602,26.7,male
16,22.91344261,1265,2918,48.63333333,male
16,17.557827,1131,,,male
16,19.85831833,1082,,,male
17,22.53944397,988,,,male
17,23.67722511,1084,2651,44.18333333,male
17,22.26345062,,1813,30.21666667,male
17,23.00556564,1070,,,male
17,24.30183029,934,,,male
17,20.16969681,1052,2314,38.56666667,male
18,21.15354919,1007,,,male
18,20.8161602,1141,,,male
18,21.07474899,1110,2580,43,male
18,18.28758621,1140,3000,50,male
18,23.37171364,,3270,54.5,male
18,20.31658554,978,2282,38.03333333,male
18,23.00556564,1035,,,male
18,18.74747467,1081,2401,40.01666667,male
19,19.64085388,969,,,male
19,21.24975014,1074,,,male
19,20.77922058,1423,2930,48.83333333,male
19,23.12047768,1086,,,male
19,21.38588142,1032,2081,34.68333333,male
19,21.5213356,1065,,,male
19,22.36208534,1062,2481,41.35,male
19,20.77922058,970,2277,37.95,male
19,23.80480194,983,,,male
19,21.24975014,1020,,,male
19,21.70465088,1070,2414,40.23333333,male
19,21.78099442,1031,2218,36.96666667,male
20,19.6209259,1170,,,male
20,20.77922058,936,1947,32.45,male
20,22.2178154,1065,2316,38.6,male
20,19.29499054,898,1884,31.4,male
20,25.11223602,1370,,,male
20,22.90478325,893,,,male
20,19.47665596,864,1830,30.5,male
20,21.38588142,918,,,male
20,28.94248581,1148,,,male
20,21.23309135,1230,,,male
21,21.83592224,1192,,,male
21,26.71614075,1113,,,male
21,23.91941071,1051,2200,36.66666667,male
21,19.47665596,1079,,,male
21,21.24975014,1152,,,male
21,23.74768066,,2685,44.75,male
21,20.32644844,888,1826,30.43333333,male
21,26.42683792,1334,,,male
21,21.38561058,,2401,40.01666667,male
21,24.09334373,,2790,46.5,male
22,21.33333397,863,,,male
22,21.74523163,1220,,,male
22,25.68033028,,3308,55.13333333,male
22,24.09897804,1073,2280,38,male
22,25.24751663,1278,,,male
22,25.23191071,1155,,,male
22,23.84960938,1032,2220,37,male
22,22.57785988,1095,2320,38.66666667,male
22,24.02414131,1200,,,male
22,20.62209892,1003,,,male
23,23.5923233,992,2142,35.7,male
23,24.37873268,1380,3120,52,male
23,20.58569527,950,2167,36.11666667,male
23,17.7299614,982,,,male
23,26.82781029,1627,,,male
23,22.91344261,1228,,,male
23,24.57002449,1070,,,male
23,20.70289803,1072,,,male
23,21.33333397,912,1797,29.95,male
23,21.15354919,881,1910,31.83333333,male
23,22.01950264,,2274,37.9,male
23,22.01950264,900,,,male
23,20.58569527,1250,2507,41.78333333,male
23,22.80591202,949,,,male
23,22.14966202,1072,,,male
23,21.15336418,1129,,,male
23,22.11463737,1261,2460,41,male
23,20.48237419,,2303,38.38333333,male
24,21.74523163,,2417,40.28333333,male
24,24.57002449,,2795,46.58333333,male
24,25.25252724,1053,,,male
24,21.06158638,1080,,,male
24,21.81818199,,2910,48.5,male
24,25.24778557,1223,,,male
24,20.91937065,,2656,44.26666667,male
24,23.97780609,,1908,31.8,male
24,21.38588142,906,1868,31.13333333,male
24,21.5213356,1011,2143,35.71666667,male
24,23.00556564,,2760,46,male
24,25.2567234,,2296,38.26666667,male
24,24.93506622,1080,,,male
24,23.00785828,,2637,43.95,male
24,20.58569527,1426,,,male
24,22.2178154,1080,2235,37.25,male
24,24.69135857,1500,3000,50,male
24,20.34231186,,2241,37.35,male
24,25.24778557,1436,2977,49.61666667,male
24,23.61009026,1061,,,male
25,24.70283508,1500,,,male
25,21.5213356,1109,,,male
25,24.83564568,1026,2198,36.63333333,male
25,25.95155525,1320,,,male
25,23.14814949,1049,2159,35.98333333,male
25,22.36208534,1020,2180,36.33333333,male
25,24.30706978,1052,2308,38.46666667,male
25,28.75982094,1320,3720,62,male
25,23.88304138,1530,,,male
25,22.62626266,,2641,44.01666667,male
25,23.08344269,,2515,41.91666667,male
25,23.15398788,1120,2290,38.16666667,male
25,24.04452515,935,,,male
25,21.91380501,1020,,,male
25,20.47117615,852,,,male
25,25.23407936,,3400,56.66666667,male
25,20.58569527,1027,2141,35.68333333,male
25,21.06995964,1003,,,male
25,21.04377174,1490,,,male
25,22.14966202,947,,,male
25,22.91344261,1324,,,male
25,22.91344261,1380,,,male
25,21.640728,994,,,male
25,20.29899025,969,2008,33.46666667,male
25,22.86756706,959,1987,33.11666667,male
25,22.62626266,988,,,male
25,21.54762268,,2316,38.6,male
25,26.73796654,,2776,46.26666667,male
25,21.04377174,1050,2218,36.96666667,male
25,23.14814949,1454,,,male
26,22.91344261,1440,,,male
26,22.01950264,1169,2440,40.66666667,male
26,25.85858536,,3182,53.03333333,male
26,26.6554451,2400,,,male
26,23.37423897,,2920,48.66666667,male
26,29.68460083,1530,,,male
26,25.597929,1510,,,male
26,21.3521862,1112,,,male
26,23.84960938,1010,2150,35.83333333,male
26,23.2189579,1011,,,male
26,24.55106735,1160,2468,41.13333333,male
26,22.24142647,1100,,,male
26,24.55106735,1313,2710,45.16666667,male
26,21.46464729,,2324,38.73333333,male
26,23.18720627,1453,2776,46.26666667,male
26,23.09417343,1162,,,male
26,24.56565666,1290,2910,48.5,male
26,19.10643196,869,,,male
26,22.07354355,957,2525,42.08333333,male
26,29.68460083,1367,,,male
26,23.74768066,1470,3144,52.4,male
26,22.79490089,1143,,,male
26,21.51537132,1363,,,male
26,21.5213356,1053,,,male
26,25.04382706,1100,,,male
26,23.74768066,1024,2124,35.4,male
26,23.74768066,950,1876,31.26666667,male
26,26.0479641,,2815,46.91666667,male
26,20.77485466,900,,,male
26,23.80480194,1511,3147,52.45,male
26,23.82998085,1200,,,male
26,24.17777824,1367,2789,46.48333333,male
27,21.06158638,1102,,,male
27,22.01950264,1159,2504,41.73333333,male
27,19.44146538,,1993,33.21666667,male
27,25.96887398,1792,,,male
27,27.52437782,,2484,41.4,male
27,20.01107407,1322,,,male
27,34.37016678,1788,,,male
27,22.53944397,1395,,,male
27,20.91937065,1010,,,male
27,21.04377174,1025,2118,35.3,male
27,21.5213356,970,,,male
27,22.60793114,1170,,,male
27,20.06172943,,2578,42.96666667,male
27,23.92344666,,2765,46.08333333,male
27,21.20791435,1110,,,male
27,24.54230499,1420,2860,47.66666667,male
27,25.7936821,1206,,,male
27,28.05836296,1623,3662,61.03333333,male
27,28.13294601,1382,,,male
27,23.20066833,1260,,,male
27,23.24191475,1444,3100,51.66666667,male
27,25.24778557,2412,4320,72,male
27,23.74768066,,2659,44.31666667,male
27,24.38188744,1327,,,male
27,20.62209892,1260,,,male
27,25.11189079,1300,,,male
27,32.07151031,1574,3290,54.83333333,male
27,23.08344269,1620,3310,55.16666667,male
27,24.81470108,1226,2662,44.36666667,male
27,25.93015862,1434,,,male
27,27.22624207,1063,,,male
27,23.90596962,,2853,47.55,male
27,24.83564568,1450,,,male
27,28.0281086,1357,,,male
27,25.89813232,1238,,,male
27,25.23407936,1245,,,male
27,21.83592224,1116,,,male
27,25.23191071,1130,,,male
28,27.4971962,1180,2622,43.7,male
28,20.9185257,1089,,,male
28,21.33333397,,2403,40.05,male
28,22.44668961,1510,3013,50.21666667,male
28,24.55106735,1380,3000,50,male
28,22.93917274,1236,,,male
28,25.89813232,1350,,,male
28,24.97483635,1144,,,male
28,24.04452515,1271,,,male
28,22.26345062,1058,2301,38.35,male
28,20.44668007,,1935,32.25,male
28,24.83164978,1064,2273,37.88333333,male
28,24.6258564,1291,,,male
28,23.29388237,930,2070,34.5,male
28,18.75529671,1005,,,male
28,23.98990059,,2400,40,male
28,22.0347538,,3210,53.5,male
28,22.57785988,1730,3240,54,male
28,21.640728,,1860,31,male
28,20.77485466,1295,,,male
28,25.18257332,1144,2321,38.68333333,male
28,23.08344269,1324,,,male
28,23.56902504,,5640,94,male
28,26.69023323,1275,,,male
28,20.03710556,1630,,,male
28,23.14814949,1048,,,male
28,23.47361565,1050,,,male
28,22.36208534,1388,,,male
28,18.75529671,1200,,,male
28,24.23761749,1523,,,male
28,32.07881927,1512,,,male
28,26.7323513,1130,,,male
28,23.94907188,1109,,,male
28,21.640728,,2338,38.96666667,male
28,20.20103264,,2065,34.41666667,male
28,21.22448921,894,1890,31.5,male
28,21.74523163,1259,,,male
28,24.52615929,1525,3540,59,male
28,23.14814949,,1960,32.66666667,male
29,29.68460083,1414,3102,51.7,male
29,23.59925842,1072,,,male
29,23.47361565,987,2083,34.71666667,male
29,24.52615929,1300,,,male
29,20.34231186,881,1975,32.91666667,male
29,28.3521347,1446,,,male
29,27.45825768,1250,2643,44.05,male
29,22.91344261,1364,,,male
29,23.14814949,1150,2655,44.25,male
29,26.98600197,1425,3330,55.5,male
29,24.1929512,1185,,,male
29,25.96887398,,3196,53.26666667,male
29,20.03710556,993,2150,35.83333333,male
29,21.66193008,1044,2165,36.08333333,male
29,27.54821014,1935,,,male
29,22.03732109,989,,,male
29,24.22145271,,2570,42.83333333,male
29,22.31223869,1429,3330,55.5,male
29,31.14186668,1395,,,male
29,22.26345062,1057,,,male
29,24.48979568,1421,,,male
29,26.25741768,1440,,,male
29,21.83592224,,2375,39.58333333,male
29,25.92195129,1725,3750,62.5,male
29,23.67722511,1081,,,male
29,28.05836296,1670,3165,52.75,male
29,25.95155525,,3720,62,male
29,24.50540733,1440,3240,54,male
29,23.90596962,1647,,,male
29,28.65964699,,3905,65.08333333,male
29,23.08238602,1560,,,male
29,21.640728,907,1920,32,male
29,22.91344261,1110,,,male
29,22.70872116,1333,,,male
29,26.27408218,1176,,,male
29,24.1301918,1172,,,male
30,26.71614075,1234,,,male
30,29.09090996,1490,3397,56.61666667,male
30,22.01950264,,2880,48,male
30,28.64563942,1530,,,male
30,23.5923233,1281,,,male
30,20.63079834,1410,,,male
30,26.71614075,,2910,48.5,male
30,22.91344261,,2802,46.7,male
30,23.74768066,1320,2880,48,male
30,22.44668961,,2560,42.66666667,male
30,25.11189079,1107,,,male
30,23.88304138,1180,,,male
30,25.38033295,1396,3150,52.5,male
30,28.85430336,,3604,60.06666667,male
30,22.57785988,,1992,33.2,male
30,21.74523163,,2207,36.78333333,male
30,27.21805,1246,2761,46.01666667,male
30,23.91919327,1165,,,male
30,21.87164688,1380,,,male
30,20.77922058,1116,,,male
30,27.52437782,,3658,60.96666667,male
30,21.5213356,,2157,35.95,male
30,18.939394,1085,,,male
30,24.44100571,,2428,40.46666667,male
30,23.84960938,1290,,,male
30,21.91380501,1604,,,male
30,23.30609322,1338,,,male
30,25.97402573,1250,,,male
30,24.44100571,,2340,39,male
30,18.939394,1365,3317,55.28333333,male
30,23.74768066,954,,,male
30,24.83164978,1144,,,male
30,23.37472534,1106,,,male
30,23.37472534,1447,,,male
30,23.67722511,,1945,32.41666667,male
30,23.74768066,924,,,male
30,25.54470444,1440,,,male
30,24.41077614,968,,,male
30,20.47117615,930,1840,30.66666667,male
30,27.54821014,1072,,,male
30,25.95155525,1102,,,male
30,22.01950264,1161,,,male
30,21.83592224,,2926,48.76666667,male
31,23.00556564,1229,,,male
