Country,2012,2013,2014,2015,2016
Afghanistan,31200000,32300000,33400000,34400000,35400000
Albania,2910000,2900000,2900000,2890000,2890000
Algeria,37400000,38100000,38900000,39700000,40600000
Andorra,82400,80800,79200,78000,77300
Angola,25100000,26000000,26900000,27900000,28800000
Antigua And Barbuda,90400,91500,92600,93600,94500
Argentina,41800000,42200000,42600000,43100000,43500000
Armenia,2880000,2900000,2910000,2930000,2940000
Australia,22900000,23300000,23600000,23900000,24300000
Austria,8500000,8560000,8620000,8680000,8750000
Azerbaijan,9260000,9390000,9510000,9620000,9740000
Bahamas,364000,367000,371000,374000,378000
Bahrain,1300000,1320000,1340000,1370000,1430000
Bangladesh,151000000,153000000,155000000,156000000,158000000
Barbados,284000,284000,285000,285000,286000
Belarus,9420000,9420000,9430000,9440000,9450000
Belgium,11100000,11200000,11200000,11300000,11400000
Belize,338000,346000,353000,361000,368000
Benin,9730000,10000000,10300000,10600000,10900000
Bhutan,702000,710000,719000,728000,737000
Bolivia,10400000,10500000,10700000,10900000,11000000
Bosnia And Herzegovina,3600000,3540000,3480000,3430000,3390000
Botswana,2040000,2060000,2090000,2120000,2160000
Brazil,199000000,201000000,203000000,204000000,206000000
Brunei,399000,404000,410000,415000,420000
Bulgaria,7330000,7290000,7250000,7200000,7150000
Burkina Faso,16600000,17100000,17600000,18100000,18600000
Burundi,9250000,9540000,9840000,10200000,10500000
Cambodia,14800000,15000000,15300000,15500000,15800000
Cameroon,21500000,22100000,22700000,23300000,23900000
Canada,34900000,35300000,35700000,36000000,36400000
Cabo Verde,505000,512000,518000,525000,531000
Central African Republic,4440000,4450000,4460000,4490000,4540000
Chad,12800000,13200000,13700000,14100000,14600000
Chile,17400000,17600000,17800000,18000000,18200000
China,1380000000,1390000000,1400000000,1410000000,1410000000
Colombia,46100000,46500000,47000000,47500000,48200000
Comoros,724000,742000,759000,777000,796000
Dem Rep Of Congo,69000000,71400000,73800000,76200000,78800000
Rep Of Congo,4510000,4620000,4740000,4860000,4980000
Costa Rica,4690000,4740000,4800000,4850000,4900000
Cote D'Ivoire,21500000,22100000,22600000,23200000,23800000
Croatia,4300000,4280000,4260000,4230000,4210000
