,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
3374,70044595,Movie,Monster House,Gil Kenan,"Mitchel Musso, Sam Lerner, Spencer Locke, Steve Buscemi, Kathleen Turner, Jason Lee, Jon Heder, Maggie Gyllenhaal, Catherine O'Hara, Fred Willard, Nick Cannon, Kevin James",United States,01-Nov-19,2006,PG,91 min,"Children & Family Movies, Comedies",Three friends uncover the truth about a scary abandoned house in their neighborhood that has a personality of its own and seems to be eating people.
4848,70056441,Movie,Teenage Mutant Ninja Turtles,Kevin Munroe,"Chris Evans, Sarah Michelle Gellar, Mako Iwamatsu, Kevin Smith, Patrick Stewart, Zhang Ziyi, Laurence Fishburne, Mitchell Whitfield, James Arnold Taylor, Mikey Kelley, Nolan North","Hong Kong, United States",01-May-19,2007,PG,87 min,"Children & Family Movies, Comedies","In this animated adventure, Master Splinter whips the four Ninja Turtles back into shape to defeat monsters running amok in New York."
167,80164032,Movie,A Plastic Ocean,,Tanya Streeter,"United Kingdom, Hong Kong",04-Oct-19,2016,TV-PG,100 min,Documentaries,"When he discovers the world's oceans brimming with plastic waste, a documentary filmmaker investigates the pollution's environmental impacts."
196,80036412,TV Show,A.D. Kingdom and Empire,,"Juan Pablo Di Pace, Adam Levy, Chipo Chung, Babou Ceesay, Emmett Scanlan, Will Thorp, Richard Coyle, Vincent Regan, Greta Scacchi, James Callis, Joanne Whalley, Jodhi May, Chris Brazier, Fraser Ayres, Jóhannes Haukur Jóhannesson, Ken Bones, Kenneth Collard",United States,15-Dec-17,2015,TV-14,1 Season,TV Dramas,"In the wake of Jesus Christ's crucifixion, his apostles dedicate themselves to spreading his message, risking their freedom and their lives."
3582,70196145,TV Show,New Girl,,"Zooey Deschanel, Jake Johnson, Max Greenfield, Hannah Simone, Lamorne Morris, Damon Wayans Jr.",United States," April 11, 2019",2017,TV-14,7 Seasons,"Romantic TV Shows, TV Comedies","Still rebounding from a breakup, Jessica Day moves in with three single guys, all of whom are ready to help her understand the ways of the world."
4859,60029154,Movie,Terminator 3: Rise of the Machines,Jonathan Mostow,"Arnold Schwarzenegger, Nick Stahl, Claire Danes, Kristanna Loken, David Andrews, Mark Famiglietti, Earl Boen, Moira Sinise, Chopper Bernet, Christopher Lawford","United States, Germany, United Kingdom",01-Jan-20,2003,R,109 min,"Action & Adventure, Sci-Fi & Fantasy","Ten years after John Connor saved Earth from Judgment Day, he encounters T-X, a robotic assassin ordered to finish what T-1000 started."
